+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |  SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/chiyo310/icon                      | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7544/exit                    | 0.052  | 0.052  | 0.052  | 0.052  | 0.052  | 0.052  | 0.052  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /                                            | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 612.000   | 612.000    | 612.000      | 612.000   |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /api/user/endoyui0/statistics                | 2.824  | 2.824  | 2.824  | 2.824  | 2.824  | 2.824  | 2.824  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7542/report                  | 0.064  | 0.064  | 0.064  | 0.064  | 0.064  | 0.064  | 0.064  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7543/enter                   | 0.088  | 0.088  | 0.088  | 0.088  | 0.088  | 0.088  | 0.088  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7496/enter                   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7525/exit                    | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7539/moderate                | 2.992  | 2.992  | 2.992  | 2.992  | 2.992  | 2.992  | 2.992  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7496/livecomment/1002/report | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 2282.000  | 2282.000   | 2282.000     | 2282.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7496/livecomment/1003/report | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 2300.000  | 2300.000   | 2300.000     | 2300.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7557/ngwords                 | 0.116  | 0.116  | 0.116  | 0.116  | 0.116  | 0.116  | 0.116  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7557/exit                    | 0.136  | 0.136  | 0.136  | 0.136  | 0.136  | 0.136  | 0.136  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7497                         | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 1462.000  | 1462.000   | 1462.000     | 1462.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7497/enter                   | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7497/exit                    | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7542/livecomment/1147/report | 0.232  | 0.232  | 0.232  | 0.232  | 0.232  | 0.232  | 0.232  | 0.000  | 2531.000  | 2531.000   | 2531.000     | 2531.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7534/moderate                | 3.428  | 3.428  | 3.428  | 3.428  | 3.428  | 3.428  | 3.428  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/test                               | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 235.000   | 235.000    | 235.000      | 235.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/test/theme                         | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 38.000    | 38.000     | 38.000       | 38.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7547/moderate                | 3.584  | 3.584  | 3.584  | 3.584  | 3.584  | 3.584  | 3.584  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/endoyui0/theme                     | 0.072  | 0.072  | 0.072  | 0.072  | 0.072  | 0.072  | 0.072  | 0.000  | 38.000    | 38.000     | 38.000       | 38.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/ishikawakana0/icon                 | 0.048  | 0.048  | 0.048  | 0.048  | 0.048  | 0.048  | 0.048  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kazuya580/theme                    | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 38.000    | 38.000     | 38.000       | 38.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7497/reaction                | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 2208.000  | 2208.000   | 2208.000     | 2208.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/maayayoshida0/icon                 | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7498/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1671.000  | 1671.000   | 1671.000     | 1671.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7535/moderate                | 3.120  | 3.120  | 3.120  | 3.120  | 3.120  | 3.120  | 3.120  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7499/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1653.000  | 1653.000   | 1653.000     | 1653.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/rei390/icon                        | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7500/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1662.000  | 1662.000   | 1662.000     | 1662.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/dikeda0/icon                       | 0.172  | 0.172  | 0.172  | 0.172  | 0.172  | 0.172  | 0.172  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7501/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1650.000  | 1650.000   | 1650.000     | 1650.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/naokosakamoto0/icon                | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7502/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1644.000  | 1644.000   | 1644.000     | 1644.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/atsushi921/icon                    | 0.212  | 0.212  | 0.212  | 0.212  | 0.212  | 0.212  | 0.212  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7503/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1658.000  | 1658.000   | 1658.000     | 1658.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/miki170/icon                       | 0.152  | 0.152  | 0.152  | 0.152  | 0.152  | 0.152  | 0.152  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7504/reaction                | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1650.000  | 1650.000   | 1650.000     | 1650.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/suzukichiyo0/icon                  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
